0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:02:18 +0800] "GET //Bahoot HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:43 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:43 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:46 +0800] "GET /Bahoot/viewQuestions?qnNo=2&setid=1&totalQn=5&room_code=4332 HTTP/1.1" 200 3985
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:46 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:48 +0800] "GET /Bahoot/viewQuestions?qnNo=3&setid=1&totalQn=5&room_code=4332 HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:48 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:49 +0800] "GET /Bahoot/viewQuestions?qnNo=4&setid=1&totalQn=5&room_code=4332 HTTP/1.1" 200 4036
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:49 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:57 +0800] "GET /Bahoot/viewQuestions?qnNo=5&setid=1&totalQn=5&room_code=4332 HTTP/1.1" 200 3971
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:57 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:03:59 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=4332 HTTP/1.1" 500 2132
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:04:07 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=4332 HTTP/1.1" 503 802
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:04:09 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=4332 HTTP/1.1" 503 802
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:04:10 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=4332 HTTP/1.1" 503 802
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:04:20 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=4332 HTTP/1.1" 200 23870
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:04:20 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:04:20 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:05:41 +0800] "GET /Bahoot/index.jsp HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:05:41 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:05:41 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:08:33 +0800] "GET /Bahoot/selection.jsp?room_code=774537 HTTP/1.1" 200 5899
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:08:33 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:08:33 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:08:34 +0800] "GET /Bahoot/viewQuestions?setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 3994
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:08:34 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:08:36 +0800] "GET /Bahoot/viewQuestions?qnNo=2&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 3987
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:08:36 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:08:45 +0800] "GET /Bahoot/viewQuestions?qnNo=5&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 3973
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:08:45 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:08:49 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 31187
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:08:49 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:20:16 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:20:16 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 31187
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:20:17 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:20:28 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 31187
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:21:43 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 31187
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:21:45 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 31187
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:22:54 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 31187
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:25:46 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 34024
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:25:46 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:25:46 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:26:33 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 35274
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:26:33 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:26:51 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 32827
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:26:51 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:27:31 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 31921
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:27:31 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:28:33 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 31991
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:28:33 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:28:33 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:29:05 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 32868
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:29:05 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:29:24 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 32873
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:29:24 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:29:38 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 32938
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:29:38 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:29:52 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 32946
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:29:52 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:29:59 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 32964
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:29:59 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:30:13 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33006
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:30:13 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:30:57 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33038
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:30:57 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:32:18 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33120
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:32:18 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:32:18 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:32:31 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33140
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:32:31 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:26 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33140
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:26 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:27 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33140
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:27 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:27 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33140
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:27 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:28 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33140
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:28 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:52 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33153
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:52 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:53 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33153
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:53 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:54 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33153
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:33:54 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:34:56 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 32992
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:34:56 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:35:28 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33028
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:35:28 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:35:55 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33124
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:35:55 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:35:55 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:36:05 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33145
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:36:05 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:36:06 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33145
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:36:06 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:36:16 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33133
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:36:16 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:36:22 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33124
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:36:22 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:37:36 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33203
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:37:36 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:38:12 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33285
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:38:13 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:38:26 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33297
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:38:26 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:38:54 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33307
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:38:54 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:38:54 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33307
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:38:54 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:39:04 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33307
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:39:04 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:39:06 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33307
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:39:06 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:39:42 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33347
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:39:42 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:39:42 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:40:45 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33412
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:40:45 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:42:03 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33670
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:42:03 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:01 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33670
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:01 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:02 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33670
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:02 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:08 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33669
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:08 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:16 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33670
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:16 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:17 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33670
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:17 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:17 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33670
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:17 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:18 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33670
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:18 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:27 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 33669
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:43:27 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:46:00 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 34380
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:46:00 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:46:00 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:46:08 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 34380
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:46:08 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:46:53 +0800] "GET /Bahoot/index.jsp HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:46:53 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:46:59 +0800] "GET /Bahoot/selection.jsp?room_code=2222 HTTP/1.1" 200 5885
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:46:59 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:55:04 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 35840
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:55:04 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:55:04 +0800] "GET /Bahoot/images/bahoot-logo-transparent.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:55:08 +0800] "GET /Bahoot/index.jsp HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:55:08 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:56:08 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 37236
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:56:08 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:56:26 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 34848
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:56:26 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:56:43 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 34848
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:56:43 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:56:59 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 34857
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:56:59 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:57:12 +0800] "GET /Bahoot/viewQuestions?qnNo=6&setid=1&totalQn=5&room_code=774537 HTTP/1.1" 200 34856
0:0:0:0:0:0:0:1 - - [30/Mar/2023:10:57:12 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
