127.0.0.1 - - [24/Mar/2023:10:33:19 +0800] "GET /Bahoot/login?email=i@gmail.com&password=123 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:26:36 +0800] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:26:36 +0800] "GET /asf-logo-wide.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:11:26:36 +0800] "GET /tomcat.svg HTTP/1.1" 304 -
127.0.0.1 - - [24/Mar/2023:11:32:04 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 24
127.0.0.1 - - [24/Mar/2023:11:32:25 +0800] "GET /Bahoot/register?name=irfan&email=i@g.com&password=123&phoneNumber=12345 HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:11:32:29 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:11:32:29 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 4
127.0.0.1 - - [24/Mar/2023:11:32:29 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 4
127.0.0.1 - - [24/Mar/2023:11:32:29 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 5
127.0.0.1 - - [24/Mar/2023:11:32:29 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 5
127.0.0.1 - - [24/Mar/2023:11:33:17 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:11:33:17 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 4
127.0.0.1 - - [24/Mar/2023:11:33:17 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 4
127.0.0.1 - - [24/Mar/2023:11:33:17 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 5
127.0.0.1 - - [24/Mar/2023:11:33:17 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 5
127.0.0.1 - - [24/Mar/2023:11:34:17 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:11:34:17 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:11:34:17 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 12
127.0.0.1 - - [24/Mar/2023:11:34:17 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 17
127.0.0.1 - - [24/Mar/2023:11:34:17 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 15
127.0.0.1 - - [24/Mar/2023:11:48:00 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:11:48:00 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:11:48:00 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 12
127.0.0.1 - - [24/Mar/2023:11:48:00 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 17
127.0.0.1 - - [24/Mar/2023:11:48:00 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 15
127.0.0.1 - - [24/Mar/2023:11:48:01 +0800] "GET /Bahoot/response?option=1 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:11:48:04 +0800] "GET /Bahoot/response?option=2 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:11:48:05 +0800] "GET /Bahoot/response?option=3 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:11:48:06 +0800] "GET /Bahoot/response?option=4 HTTP/1.1" 200 7
127.0.0.1 - - [24/Mar/2023:11:48:07 +0800] "GET /Bahoot/response?option=4 HTTP/1.1" 200 7
127.0.0.1 - - [24/Mar/2023:11:49:32 +0800] "GET /Bahoot/response?option=1 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:11:49:32 +0800] "GET /Bahoot/response?option=1 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:11:57:21 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:11:57:21 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:11:57:21 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 12
127.0.0.1 - - [24/Mar/2023:11:57:21 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 17
127.0.0.1 - - [24/Mar/2023:11:57:21 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 15
127.0.0.1 - - [24/Mar/2023:11:57:22 +0800] "GET /Bahoot/response?option=1 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:11:57:23 +0800] "GET /Bahoot/response?option=2 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:11:57:24 +0800] "GET /Bahoot/response?option=3 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:11:57:24 +0800] "GET /Bahoot/response?option=4 HTTP/1.1" 200 7
127.0.0.1 - - [24/Mar/2023:11:59:37 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:11:59:37 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:11:59:37 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 12
127.0.0.1 - - [24/Mar/2023:11:59:37 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 17
127.0.0.1 - - [24/Mar/2023:11:59:37 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 15
127.0.0.1 - - [24/Mar/2023:11:59:38 +0800] "GET /Bahoot/response?option=1 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:11:59:59 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:11:59:59 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:11:59:59 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 12
127.0.0.1 - - [24/Mar/2023:11:59:59 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 17
127.0.0.1 - - [24/Mar/2023:11:59:59 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 15
127.0.0.1 - - [24/Mar/2023:12:00:01 +0800] "GET /Bahoot/response?option=4 HTTP/1.1" 200 7
127.0.0.1 - - [24/Mar/2023:12:00:48 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:12:00:48 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 25
127.0.0.1 - - [24/Mar/2023:12:00:48 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:12:00:48 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 36
127.0.0.1 - - [24/Mar/2023:12:00:48 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 23
127.0.0.1 - - [24/Mar/2023:12:00:52 +0800] "GET /Bahoot/response?option=2 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:12:09:58 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:12:09:59 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 25
127.0.0.1 - - [24/Mar/2023:12:09:59 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:12:09:59 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 36
127.0.0.1 - - [24/Mar/2023:12:09:59 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 23
127.0.0.1 - - [24/Mar/2023:12:10:01 +0800] "GET /Bahoot/response?option=4&userID=6 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:12:14:44 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:12:14:44 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 25
127.0.0.1 - - [24/Mar/2023:12:14:44 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:12:14:44 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 36
127.0.0.1 - - [24/Mar/2023:12:14:44 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 23
127.0.0.1 - - [24/Mar/2023:12:14:46 +0800] "GET /Bahoot/response?option=4&userID=6 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:12:15:01 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:12:15:01 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 25
127.0.0.1 - - [24/Mar/2023:12:15:01 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:12:15:01 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 36
127.0.0.1 - - [24/Mar/2023:12:15:01 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 23
127.0.0.1 - - [24/Mar/2023:12:15:03 +0800] "GET /Bahoot/response?option=2&userID=6 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:12:16:08 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:12:16:08 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 25
127.0.0.1 - - [24/Mar/2023:12:16:08 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:12:16:08 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 36
127.0.0.1 - - [24/Mar/2023:12:16:09 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 23
127.0.0.1 - - [24/Mar/2023:12:16:30 +0800] "GET /Bahoot/response?option=3&userID=6 HTTP/1.1" 200 7
127.0.0.1 - - [24/Mar/2023:12:17:30 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:12:17:30 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:12:17:30 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 12
127.0.0.1 - - [24/Mar/2023:12:17:30 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 17
127.0.0.1 - - [24/Mar/2023:12:17:30 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [24/Mar/2023:12:43:25 +0800] "GET /Bahoot/ HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [24/Mar/2023:12:43:25 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
127.0.0.1 - - [24/Mar/2023:12:43:29 +0800] "GET /Bahoot/login?email=kK@g.com&password=123 HTTP/1.1" 200 24
127.0.0.1 - - [24/Mar/2023:12:43:40 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:12:43:40 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:12:43:41 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 12
127.0.0.1 - - [24/Mar/2023:12:43:41 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 17
127.0.0.1 - - [24/Mar/2023:12:43:41 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 15
127.0.0.1 - - [24/Mar/2023:12:43:42 +0800] "GET /Bahoot/response?option=3&userID=6 HTTP/1.1" 200 9
127.0.0.1 - - [24/Mar/2023:12:45:08 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:12:45:08 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:12:45:08 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 12
127.0.0.1 - - [24/Mar/2023:12:45:08 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 17
127.0.0.1 - - [24/Mar/2023:12:45:08 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 15
127.0.0.1 - - [24/Mar/2023:12:45:18 +0800] "GET /Bahoot/response?option=4&userID=6 HTTP/1.1" 200 7
127.0.0.1 - - [24/Mar/2023:12:46:03 +0800] "GET /Bahoot/login?email=chockhong@gmail.com&password=passwordlim HTTP/1.1" 200 2
127.0.0.1 - - [24/Mar/2023:12:46:03 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 14
127.0.0.1 - - [24/Mar/2023:12:46:03 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 12
127.0.0.1 - - [24/Mar/2023:12:46:03 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 17
127.0.0.1 - - [24/Mar/2023:12:46:03 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 15
127.0.0.1 - - [24/Mar/2023:12:46:06 +0800] "GET /Bahoot/response?option=4&userID=1 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [24/Mar/2023:20:13:22 +0800] "GET /Bahoot/ HTTP/1.1" 200 1568
0:0:0:0:0:0:0:1 - - [24/Mar/2023:20:13:22 +0800] "GET /Bahoot/style/style.css HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [24/Mar/2023:20:13:22 +0800] "GET /Bahoot/images/oldegg-icon.ico HTTP/1.1" 404 788
127.0.0.1 - - [24/Mar/2023:20:37:44 +0800] "GET /Bahoot/login?email=chockhong@gmail.com&password=passwordlim HTTP/1.1" 200 3
127.0.0.1 - - [24/Mar/2023:20:37:44 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:37:44 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:37:44 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:37:44 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:37:47 +0800] "GET /Bahoot/response?option=1&userID=1 HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:40:32 +0800] "GET /Bahoot/register?name=irfan&email=i@g.com&password=123&phoneNumber=999 HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:40:35 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 3
127.0.0.1 - - [24/Mar/2023:20:40:36 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:40:36 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:40:36 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:40:36 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:41:04 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 3
127.0.0.1 - - [24/Mar/2023:20:41:04 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:41:04 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:41:04 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:41:04 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:47:22 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 3
127.0.0.1 - - [24/Mar/2023:20:47:22 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:47:22 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:47:22 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:47:22 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 -
127.0.0.1 - - [24/Mar/2023:20:48:45 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 3
127.0.0.1 - - [24/Mar/2023:20:48:45 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 5
127.0.0.1 - - [24/Mar/2023:20:48:45 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 5
127.0.0.1 - - [24/Mar/2023:20:48:45 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 6
127.0.0.1 - - [24/Mar/2023:20:48:45 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 6
127.0.0.1 - - [24/Mar/2023:20:50:01 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 3
127.0.0.1 - - [24/Mar/2023:20:50:01 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 5
127.0.0.1 - - [24/Mar/2023:20:50:01 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 5
127.0.0.1 - - [24/Mar/2023:20:50:01 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 6
127.0.0.1 - - [24/Mar/2023:20:50:01 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 6
127.0.0.1 - - [24/Mar/2023:20:50:33 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 3
127.0.0.1 - - [24/Mar/2023:20:50:34 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 5
127.0.0.1 - - [24/Mar/2023:20:50:34 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 5
127.0.0.1 - - [24/Mar/2023:20:50:34 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 6
127.0.0.1 - - [24/Mar/2023:20:50:34 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 6
127.0.0.1 - - [24/Mar/2023:20:51:25 +0800] "GET /Bahoot/login?email=i@g.com&password=123 HTTP/1.1" 200 3
127.0.0.1 - - [24/Mar/2023:20:51:25 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt1%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 5
127.0.0.1 - - [24/Mar/2023:20:51:25 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt2%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 5
127.0.0.1 - - [24/Mar/2023:20:51:25 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt3%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 6
127.0.0.1 - - [24/Mar/2023:20:51:25 +0800] "GET /Bahoot/SQL?sql=SELECT%20opt4%20FROM%20questions%20WHERE%20current='Y' HTTP/1.1" 200 6
127.0.0.1 - - [24/Mar/2023:20:51:28 +0800] "GET /Bahoot/response?option=3&userID=6 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [24/Mar/2023:20:52:17 +0800] "GET /Bahoot HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2023:20:52:17 +0800] "GET /Bahoot/ HTTP/1.1" 200 1568
